Ticker,Sector,Industry,Profit Margin,Operating Margin (ttm),Return on Assets(ROA) (ttm),Return on Equity(ROE) (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
AAPL,Technology,Consumer Electronics,0.27152002,0.32275,0.26229,1.4147099,451442016256,30.534,0.166,216070995968,159975997440,122575003648.0,8.25,0.218,68507000832,4.664,84710998016,79.548,1.07,7.26,140222005248.0,101090746368.0
ABNB,Consumer Cyclical,Travel Services,0.19902,0.03211,0.06245,0.32325,12647000064,20.827,0.179,10485999616,2619000064,2516999936.0,4.05,0.06,12005000192,20.227,2534000128,33.185,1.442,12.834,4565000192.0,3191000064.0
ADBE,Technology,Software - Application,0.29477,0.38762,0.18905,0.58774,24452999168,58.263,0.12,21859999744,9516000256,7208000000.0,17.17,0.111,6898999808,17.068,6670000128,58.34,0.912,28.16,10506999808.0,9321374720.0
ADI,Technology,Semiconductors,0.23024,0.33067,0.0454,0.07862,11756795904,23.868,0.304,7388150784,5459077120,2706852096.0,5.46,1.167,4048847104,8.293,8701080576,25.753,1.756,69.207,5053907968.0,4139530752.0
ADP,Technology,Software - Application,0.20118,0.30184,0.05949,0.71208,21600399360,53.453,0.07,10475499520,6339899904,4345600000.0,10.71,0.105,3228400128,8.076,4398000128,69.259,1.043,15.851,5452400128.0,4749387264.0
ADSK,Technology,Software - Application,0.15597999,0.27236,0.096999995,0.39675,7206000128,33.831,0.194,6653000192,1906000000,1124000000.0,5.24,0.063,2596999936,12.308,2734000128,89.787,0.851,14.363,2452000000.0,2787000064.0
AEP,Utilities,Utilities - Regulated Electric,0.16289,0.23738001,0.031689998,0.12585,22432999424,41.797,0.102,10597999616,9141000192,3654000128.0,6.76,0.067,516000000,0.948,51808002048,157.099,0.526,58.473,7013000192.0,-6953449984.0
ALNY,Healthcare,Biotechnology,0.12550001,0.23016001,0.10062,0.90356004,4286923008,32.524,0.964,3464971008,806942976,537988992.0,3.97,,3009222912,22.539,2970230016,276.203,3.127,8.059,714896000.0,204714128.0
AMAT,Technology,Semiconductor Equipment & Materials,0.27784002,0.29892,0.14849,0.38863,28213999616,35.323,-0.021,13747000320,8888999936,7839000064.0,9.75,0.752,8511000064,10.724,7190000128,33.108,2.715,27.365,8718999552.0,4341749760.0
AMD,Technology,Semiconductors,0.13374,0.14396,0.03647,0.08063,37454000128,23.024,0.378,19872999424,7430000128,4931999744.0,3.0,0.912,12346999808,7.572,3871000064,6.005,2.725,39.547,9724999680.0,7173374976.0
AMGN,Healthcare,Drug Manufacturers - General,0.20955999,0.33800998,0.08347999,1.01318,37219999744,69.118,0.058,26591000576,16917999616,7800000000.0,14.36,0.044,12037999616,22.305,57322999808,623.754,1.261,17.028,10755999744.0,7436624896.0
AMZN,Consumer Cyclical,Internet Retail,0.12224,0.1314,0.06845,0.24285,742775980032,69.477,0.166,375875010560,155860992000,90797998080.0,8.35,0.748,143088992256,13.302,235540004864,53.3,1.177,41.093,148531003392.0,9806624768.0
APP,Communication Services,Advertising Agencies,0.6429,0.78151,0.44236,2.66444,6164192256,18.228,0.59,5447099904,4872055808,3914972928.0,11.48,1.131,2758671104,8.212,3849840128,162.888,3.244,7.028,4439283200.0,3180097280.0
ARM,Technology,Semiconductors,0.17148,0.29597,0.05878,0.112679996,4671000064,4.414,0.201,4553999872,1083800064,801000000.0,0.85,0.457,3600999936,3.391,432000000,5.214,5.427,7.343,1522000000.0,824750016.0
ASML,Technology,Semiconductor Equipment & Materials,0.29713,0.36020002,0.15664,0.52236,33692700672,1.568016,0.132,17723299840,12704400384,10011100160.0,30.42,0.192,8376300032,21.734,2705600000,12.989,1.36,1.144717,10531500032.0,8243274752.0
AVGO,Technology,Semiconductors,0.36571997,0.44943002,0.10663,0.33370999,68281999360,14.456,0.295,52389998592,37218000896,24971999232.0,5.12,0.316,14174000128,2.994,66056998912,82.704,1.902,16.865,29684000768.0,25503750144.0
AXON,Industrials,Aerospace & Defense,0.06905,0.03748,0.00084,0.06765,2983247872,37.812,0.337,1773918976,102861000,205988000.0,2.48,0.898,736972992,9.143,1840359040,52.074,2.271,43.863,154028000.0,62617500.0
BKNG,Consumer Cyclical,Travel Services,0.22227,0.25035998,0.22259001,,27687000064,34.456,0.162,24084000768,10378000384,6153999872.0,7.58,2.4,16024000512,20.679,19175999488,,1.057,-11.185,9340999680.0,7075125248.0
BKR,Energy,Oil & Gas Equipment & Services,0.11171,0.12282,0.05011,0.17184,27893000192,28.246,0.025,6594999808,4821000192,3116000000.0,3.13,1.325,15934000128,16.061,16163999744,82.935,2.132,19.474,3600999936.0,3151249920.0
CCEP,Consumer Defensive,Beverages - Non-Alcoholic,0.09291001,0.1372,0.05716,0.22894,20900999168,45.836,0.002,7436000256,3424999936,1942000000.0,5.01,0.683,972000000,2.167,10794000384,130.001,0.801,20.549715,2952999936.0,1747874944.0
CDNS,Technology,Software - Application,0.21180001,0.29699,0.10389,0.20656,5528612864,20.374,0.187,4758949888,2014227968,1170968960.0,4.3,0.23,1546153984,5.606,3083354112,46.992,1.471,24.118,1597542016.0,1499152256.0
CEG,Utilities,Utilities - Independent Power Producers,0.12693,0.21858,0.04196,0.16104999,29866999808,92.396,0.638,6947999744,7957000192,3791000064.0,11.51,10.91,864000000,2.392,22466000896,66.428,1.363,46.476,4554999808.0,-4478875136.0
CHTR,Communication Services,Telecom Services,0.09029,0.23879999,0.054130003,0.27504998,54635999232,416.657,-0.01,30239000576,21974999040,4933000192.0,36.97,0.089,517000000,4.204,96822001664,459.525,0.401,133.228,16145000448.0,2403624960.0
CMCSA,Communication Services,Telecom Services,0.15004,0.13145,0.04535,0.20918,125277003776,34.264,0.053,87856996352,35371999232,18797000704.0,5.1,-0.326,9468000256,2.65,94611996672,106.858,0.865,24.679,32240001024.0,4013125120.0
COST,Consumer Defensive,Discount Stores,0.029860001,0.036730003,0.08718,0.29650998,286265016320,644.785,0.215,37003001856,13459999744,8549000192.0,19.21,0.455,11125999616,25.164,10227999744,60.257,1.058,37.278,15011000320.0,6690375168.0
CPRT,Industrials,Specialty Business Services,0.33758,0.34654,0.109919995,0.17129,4613516800,4.771,-0.036,2184211968,1943943040,1557409024.0,1.59,-0.1,5101820928,5.296,96136000,0.98,10.061,10.162,1802102016.0,1035371520.0
CRWD,Technology,Software - Infrastructure,-0.033770002,0.0100300005,-0.015700001,-0.04137,4812004864,19.204,0.233,3599789056,-46664000,-162502000.0,-0.66,,5230125056,20.622,820076992,18.336,1.773,17.478,1612349056.0,1604615040.0
CSCO,Technology,Communication Equipment,0.18756,0.24868,0.06994,0.23754999,59053998080,14.911,0.097,38274998272,16291000320,11075999744.0,2.78,0.312,15777000448,3.994,31740000256,66.509,0.955,12.085,13324999680.0,10129500160.0
CSGP,Real Estate,Real Estate Services,0.00733,0.0033399998,-0.00158,0.00303,3412000000,8.174,0.225,2683000064,272000000,25000000.0,0.07,,1215000064,2.975,1155000064,14.526,2.196,19.437,529000000.0,202200000.0
CSX,Industrials,Railroads,0.21553,0.36157,0.07084,0.23684,14151000064,7.598,0.017,6624999936,6624999936,3049999872.0,1.63,0.265,1108999936,0.597,19428999168,143.06,0.966,7.307,4630000128.0,1129874944.0
CTAS,Industrials,Specialty Business Services,0.17568001,0.23224,0.15942,0.41303003,11027210240,27.426,0.089,5553490944,2903095040,1930966016.0,4.75,0.097,183204000,0.458,2918187008,60.943,1.983,11.971,2207493888.0,1508147456.0
CTSH,Technology,Information Technology Services,0.10413,0.15574001,0.10438,0.14876,21405999104,44.25,0.058,7174000128,3891000064,2228999936.0,4.61,0.036,1516999936,3.201,1092000000,7.247,2.226,31.789,2756999936.0,1908875008.0
DASH,Consumer Cyclical,Internet Retail,0.0629,0.052529998,0.03309,0.09922,14721000448,34.192,0.331,7619999744,1350000000,926000000.0,2.11,-0.061,5533000192,12.699,3287000064,32.194,1.426,23.392,2390000128.0,2295624960.0
DDOG,Technology,Software - Application,0.03695,0.00797,-0.0021600001,0.039300002,3672030976,10.496,0.322,2934170880,34639000,135672992.0,0.4,1.04,4758617088,13.368,1285052032,32.221,3.397,11.208,1113216000.0,936726528.0
DXCM,Healthcare,Medical Devices,0.19311,0.2142,0.09651,0.35624,4817900032,12.395,0.15,2963200000,1292300032,930400000.0,2.33,0.922,2415200000,6.259,1384800000,46.833,1.948,7.662,1782499968.0,1056637504.0
EA,Communication Services,Electronic Gaming & Multimedia,0.11778,0.24009001,0.05696,0.1349,7530999808,30.124,0.119,5946999808,1484999936,887000000.0,3.5,0.853,2980000000,11.884,1854000000,27.41,1.046,27.056,2552999936.0,2219124992.0
EXC,Utilities,Utilities - Regulated Electric,0.11212,0.22299999,0.028399998,0.09764,24785999872,24.42,0.079,10568999936,8248999936,2779000064.0,2.73,-0.003,713000000,0.697,51241000960,174.794,0.939,28.65,6777999872.0,-2807749888.0
FANG,Energy,Oil & Gas E&P,0.01964,0.0579,-0.00122,0.0047400002,14458999808,50.314,0.042,10446000128,10149000192,279000000.0,0.97,-0.984,174000000,0.619,13898000384,32.594,0.561,129.653,8231000064.0,1397250048.0
FAST,Industrials,Industrial Distribution,0.15392,0.2033,0.21195999,0.33842,8442800128,7.355,0.124,3790200064,1888499968,1299500032.0,1.13,0.138,308600000,0.269,445500000,11.167,4.392,3.475,1412099968.0,903862528.0
FER,Industrials,Engineering & Construction,0.09224,0.12369,0.02368,0.14317,9626999808,13.395,0.057,8417999872,1456999936,868000000.0,1.39,-0.876,4241999872,5.887,10732000256,140.013,1.131,9.608056,1926000000.0,321375008.0
FTNT,Technology,Software - Infrastructure,0.27491,0.31282,0.13586001,1.32392,7109499904,9.471,0.201,5709199872,2361400064,1954499968.0,2.58,0.286,3294899968,4.497,567200000,57.31,1.153,1.348,2804400128.0,1813049984.0
GEHC,Healthcare,Medical Devices,0.091000006,0.11089,0.05174,0.19462,20978999296,46.032,0.074,8211999744,3521999872,1908999936.0,4.17,-0.309,2260999936,4.97,10577000448,97.055,1.222,22.774,2027000064.0,1717374976.0
GILD,Healthcare,Drug Manufacturers - General,0.30993,0.39282,0.13292,0.4336,29735999488,23.923,0.044,23601000448,14737999872,9216000000.0,7.35,0.548,9816999936,7.907,22173999104,94.635,1.967,18.293,10805999616.0,7934125056.0
GOOG,Communication Services,Internet Content & Information,0.37919,0.36121,0.14641,0.38884997,422498009088,34.932,0.218,255053004800,161315995648,160207994880.0,13.13,0.82,126839996416,10.469,95875997696,20.026,1.922,39.514,174353006592.0,27472750592.0
GOOGL,Communication Services,Internet Content & Information,0.37919,0.36121,0.14641,0.38884997,422498009088,34.932,0.218,255053004800,161315995648,160207994880.0,13.09,0.82,126839996416,10.469,95875997696,20.026,1.922,39.514,174353006592.0,27472750592.0
HON,Industrials,Conglomerates,0.1089,0.21,0.05953,0.24264,37660000256,59.249,0.024,13905999872,8526000128,3968000000.0,6.25,-0.419,12389999616,19.553,37751001088,257.387,1.385,21.447,5160999936.0,2936875008.0
IDXX,Healthcare,Diagnostics & Research,0.24634,0.31783,0.26463,0.72915,4446094848,55.57,0.143,2758938880,1545885952,1095233024.0,13.61,0.172,200528000,2.542,1105451008,71.04,1.119,20.14,1210091008.0,786844480.0
INSM,Healthcare,Biotechnology,-1.4443699,-0.65459,-0.31107,-2.9446201,819564032,3.947,2.296,670483968,-949036032,-1183755008.0,-5.77,,1223513984,5.645,742462016,105.336,4.469,3.449,-895664000.0,-606202112.0
INTC,Technology,Semiconductors,-0.05904,0.06879,0.0063099996,-0.02911,53762998272,11.403,0.072,20000000000,14174000128,-3174000128.0,-0.6,,32789000192,6.524,45030998016,36.028,2.312,22.884,9980000256.0,-8301250048.0
INTU,Technology,Software - Application,0.2157,0.18383,0.10328,0.23457001,20120999936,71.989,0.174,16277000192,6106999808,4339999744.0,15.35,0.485,2975000064,10.758,6888000000,36.148,1.323,68.669,6983000064.0,5301374976.0
ISRG,Healthcare,Medical Instruments & Supplies,0.28152,0.30868,0.102419995,0.17232999,10582099968,29.704,0.23,7015099904,3885600000,2979099904.0,8.25,0.188,4517300224,12.755,0,,4.61,49.307,3360800000.0,2254087424.0
KDP,Consumer Defensive,Beverages - Non-Alcoholic,0.10812,0.19014,0.036140002,0.06312,16944000000,12.471,0.094,9112000512,4441999872,1832000000.0,1.35,-0.477,898000000,0.66,28891000832,85.985,2.307,18.568,2063000064.0,-16345499648.0
KHC,Consumer Defensive,Packaged Foods,-0.23049,0.20738001,0.03467,-0.12576,24989999104,21.093,0.008,8489999872,5761999872,-5760000000.0,-4.86,0.136,4091000064,3.45,21133000704,50.258,1.195,35.348,4748000256.0,3212250112.0
KLAC,Technology,Semiconductor Equipment & Materials,0.35661998,0.41215,0.21282,0.94975996,13096660992,99.596,0.115,8047422976,5850215936,4670560768.0,35.32,0.118,4957938176,37.955,6145359872,105.4,3.026,41.678,4401639936.0,2890187008.0
LIN,Basic Materials,Specialty Chemicals,0.20436001,0.28471002,0.07237,0.18229,34654998528,74.18,0.082,16899999744,13589999616,7081999872.0,15.07,0.134,3959000064,8.558,26317000704,65.642,0.828,82.481,10428999680.0,4694499840.0
LRCX,Technology,Semiconductor Equipment & Materials,0.30938998,0.35042998,0.22778,0.66762,21681844224,17.197,0.238,10836277248,7847764992,6708201984.0,5.29,0.408,4750936064,3.799,3734479104,35.282,2.536,8.464,6954616832.0,4352341504.0
MAR,Consumer Cyclical,Lodging,0.35969,0.59006,0.09765001,,7184000000,26.588,0.126,5678000128,4735000064,2584000000.0,9.56,0.017,454000000,1.722,17405999104,,0.46,-15.459,3423000064.0,1796875008.0
MCHP,Technology,Semiconductors,0.048800003,0.17145,0.02318,0.03405,4713099776,8.722,0.351,2721100032,1239166464,118800000.0,0.22,,240300000,0.444,5496399872,85.449,2.092,11.879,,
MDLZ,Consumer Defensive,Confectioners,0.06638,0.093059994,0.03426,0.101610005,39303999488,30.48,0.082,11308000256,5216000000,2608999936.0,2.02,0.413,1524000000,1.187,21621999616,83.793,0.542,20.06,3888999936.0,2847500032.0
MELI,Consumer Cyclical,Internet Retail,0.060370002,0.06908,0.05108,0.31258,31803000832,627.312,0.49,15733999616,3940999936,1920000000.0,37.89,-0.156,5664000000,111.722,12376000512,169.977,1.161,143.617,13159999488.0,-4104624896.0
META,Communication Services,Internet Content & Information,0.32837,0.40617,0.16395001,0.32930002,214962995200,85.21,0.331,176141991936,109308002304,70586998784.0,27.5,0.624,81180000256,31.98,86769000448,35.608,2.348,96.013,124000002048.0,25558249472.0
MNST,Consumer Defensive,Beverages - Non-Alcoholic,0.23108,0.31019,0.17725,0.26654,8793075712,9.0,0.269,4877581824,2822268928,2031923968.0,2.07,0.289,2984993024,3.052,94469000,1.082,3.257,8.924,2195563008.0,1684340480.0
MPWR,Technology,Semiconductors,0.22984,0.29986998,0.121300004,0.19574,2957090048,61.165,0.261,1631576064,857198976,679657024.0,13.92,0.395,1367108992,27.826,19968000,0.543,4.787,74.852,832067968.0,491719136.0
MRVL,Technology,Semiconductors,0.32584,0.18655,0.039389998,0.19253999,8194599936,9.518,0.221,4181199872,2629499904,2670099968.0,3.08,1.063,2638799872,3.018,4790300160,33.479,2.006,16.887,1750499968.0,1442787456.0
MSFT,Technology,Software - Infrastructure,0.39341998,0.46326,0.14814,0.34013999,318272995328,42.836,0.183,217409994752,184457003008,125215997952.0,16.8,0.234,78227996672,10.531,125431996416,30.271,1.283,55.777,170141007872.0,37011251200.0
MSTR,Technology,Software - Application,0.0,-116.41528,-0.17813998,-0.30756,490467008,1.651,0.119,334075008,-13990264832,-12773697536.0,-36.99,,2207218944,6.298,8257384960,18.094,6.053,141.393,-50863000.0,-8699502592.0
MU,Technology,Semiconductors,0.41486,0.67624,0.20145,0.39823002,58119000064,51.799,1.963,33962999808,36802998272,24110999552.0,21.16,7.56,14588999680,12.937,10798000128,14.902,2.897,64.237,30652999680.0,2893499904.0
NFLX,Communication Services,Entertainment,0.28521,0.32303002,0.15402001,0.48494998,46889992192,11.067,0.162,22989572096,14288497664,13373640704.0,3.1,0.864,12288449536,2.917,16742200320,53.788,1.407,6.304,12650278912.0,25993676800.0
NVDA,Technology,Semiconductors,0.55603004,0.65024,0.51188,1.01485,215938007040,8.865,0.732,153462996992,133230002176,120066998272.0,4.9,0.956,62556000256,2.574,11411999744,7.255,3.905,6.472,102717997056.0,58128998400.0
NXPI,Technology,Semiconductors,0.21031,0.47375,0.096429996,0.25812998,12615000064,49.969,0.122,7017999872,4787999744,2652999936.0,10.46,1.307,3708000000,14.687,11724000256,103.991,2.241,43.254,3048000000.0,3119000064.0
ODFL,Industrials,Trucking,0.18461001,0.23775999,0.15029,0.23331,5456226816,26.044,-0.029,2124992000,1708194944,1007300992.0,4.8,-0.042,288081984,1.385,39996000,0.909,1.565,21.138,1407248000.0,861986240.0
ORLY,Consumer Cyclical,Auto Parts,0.14303,0.18454,0.13809,,18205607936,21.514,0.102,9399867392,4085121024,2603905024.0,3.07,0.161,252632000,0.305,8731225088,,0.755,-1.282,3039785984.0,1330813184.0
PANW,Technology,Software - Infrastructure,0.12956999,0.15496999,0.034479998,0.16259001,9893499904,14.517,0.149,7271900160,1536499968,1281900032.0,1.79,0.605,4536000000,5.559,459000000,4.887,1.045,13.361,3974000128.0,2859225088.0
PAYX,Technology,Software - Application,0.26633,0.44375,,,3968000000,10.88,0.199,2666400000,1608000000,,4.53,0.091,1780600064,4.97,5013400064,124.91,1.152,11.202,1179200000.0,
PCAR,Industrials,Farm & Heavy Construction Machinery,0.08913,0.103190005,0.041479997,0.13108,27779600384,52.803,-0.089,3773299968,3222000128,2476000000.0,4.7,0.197,8595399680,16.332,15047300096,76.163,5.558,37.542,4477300224.0,1485162496.0
PDD,Consumer Cyclical,Internet Retail,0.22657,0.21142,0.10253,0.26928,431845703680,308.962,0.12,243043958784,93703610368,97842536448.0,9.71,-0.164,422308282368,74.173,5378795008,1.301,2.428,42.739372,106938687488.0,85629034496.0
PEP,Consumer Defensive,Beverages - Non-Alcoholic,0.09149,0.16961999,0.090909995,0.43879002,95448997888,69.785,0.085,51908001792,18695999488,8732999680.0,6.36,0.278,10828000256,7.922,52728000512,244.837,0.897,15.631,13100999680.0,8746250240.0
PLTR,Technology,Software - Infrastructure,0.43673,0.46183997,0.14702,0.32587,5224174080,2.194,0.847,4392168960,2018253056,2281529088.0,0.88,3.25,8026413056,3.348,211976992,2.477,6.907,3.089,2723375104.0,1752997120.0
PYPL,Financial Services,Credit Services,0.14997,0.17969999,0.04738,0.25120002,33734000640,35.859,0.072,13806999552,6572000256,5058999808.0,5.33,-0.062,9342000128,10.591,11669999616,58.28,1.259,22.017,6390000128.0,4083500032.0
QCOM,Technology,Semiconductors,0.22308001,0.22059,0.12692,0.36083,44486000640,41.325,-0.035,24377999360,12999000064,9923999744.0,9.3,1.73,9799000064,9.297,15269999616,55.979,2.366,25.758,14284999680.0,9589624832.0
REGN,Healthcare,Biotechnology,0.29648,0.20658001,0.06126,0.14548,14919600128,143.561,0.19,6547500032,4382799872,4423399936.0,40.95,-0.072,8753699840,86.041,2706200064,8.612,3.565,304.648,5012700160.0,3273349888.0
ROP,Technology,Software - Application,0.21123,0.27185,0.04319,0.09012,8114999808,76.108,0.113,5632099840,3194700032,1714099968.0,16.0,0.592,382900000,3.794,10464000000,55.606,0.534,186.506,2603699968.0,2169925120.0
ROST,Consumer Cyclical,Apparel Retail,0.094289996,0.12269,0.11112001,0.36678,22750558208,70.606,0.122,7407983104,3216748032,2145043968.0,6.62,0.118,4594392064,14.253,5212338176,84.241,1.583,19.196,3026883072.0,1636926336.0
SBUX,Consumer Cyclical,Restaurants,0.03888,0.084180005,0.07377,,38471598080,33.815,0.088,8424000000,5395299840,1495600000.0,1.31,0.326,1700300032,1.492,24408500224,,0.922,-7.429,4345699840.0,-1304087552.0
SHOP,Technology,Software - Application,0.10771,0.1571,0.0962,0.11311,12366000128,9.505,0.343,5932000256,2148000000,1332000000.0,1.02,,5743000064,4.426,179000000,1.432,6.196,10.333,2147000064.0,1256749952.0
SNDK,Technology,Computer Hardware,0.34185,0.69983,0.22823,0.39297,13184000000,89.993,2.51,7388000256,5632000000,4506999808.0,29.33,,3735000064,25.221,207000000,1.503,4.782,69.007,4639000064.0,2259500032.0
SNPS,Technology,Software - Infrastructure,0.13756,0.13340001,0.02041,0.055430003,8007661056,46.356,0.655,6568208896,1615056000,1105394944.0,6.52,-0.82,2203482112,11.503,10868556800,35.579,1.363,159.566,2442895104.0,3096222464.0
STX,Technology,Computer Hardware,0.21599,0.35668,0.24664,17.8797,11009999872,50.855,0.441,4576999936,3513999872,2377999872.0,10.51,1.083,1146000000,5.111,4177999872,381.553,1.326,2.104,2876999936.0,1610000000.0
TMUS,Communication Services,Telecom Services,0.116459996,0.21548,0.056999996,0.18024999,90529996800,80.983,0.106,57299001344,33315999744,10542999552.0,9.41,-0.12,3520000000,3.253,122134003712,218.569,1.087,53.484,28324999168.0,10791749632.0
TRI,Industrials,Specialty Business Services,0.19927,0.30331,0.06939,0.12734,7663000064,17.392,0.098,3024000000,2169999872,1531000064.0,3.47,0.072,489000000,1.12,2699000064,22.85,0.604,26.528,2711000064.0,1677874944.0
TSLA,Consumer Cyclical,Auto Manufacturers,0.03946,0.04203,0.022330001,0.04901,97878999040,30.312,0.158,18660999168,11093999616,3862000128.0,1.07,0.083,44743000064,11.913,15889999872,18.738,2.043,21.897,16528000000.0,5251999744.0
TTWO,Communication Services,Electronic Gaming & Multimedia,-0.60449004,-0.020480001,-0.0027,-0.86217004,6559099904,36.084,0.249,3888800000,823000000,-3964900096.0,-22.58,,2359000064,12.739,3511300096,100.449,1.137,18.885,667900032.0,1484974976.0
TXN,Technology,Semiconductors,0.29108,0.37824002,0.12161,0.32347,18438000640,20.289,0.186,10568999936,8664999936,5336000000.0,5.84,0.313,5103000064,5.607,14049999872,83.741,4.456,18.437,7824000000.0,1068249984.0
VRSK,Industrials,Consulting Services,0.2934,0.45004,0.17999001,,3102299904,22.424,0.039,2171000064,1508099968,910200000.0,6.55,0.048,525200000,4.008,4625200128,,1.018,2.233,1381699968.0,944362496.0
VRTX,Healthcare,Biotechnology,0.35507,0.38126,0.12142,0.24197,12218000384,47.914,0.078,6645499904,4981199872,4338299904.0,16.86,0.614,7246700032,28.552,1986499968,10.26,3.023,76.179,4240600064.0,2783225088.0
WBD,Communication Services,Entertainment,-0.04665,0.08590999,0.01391,-0.049590003,37210001408,14.989,-0.01,17022999552,7584000000,-1735000064.0,-0.7,,3296000000,1.315,32465999872,96.318,0.729,14.483,3558000128.0,18466875392.0
WDAY,Technology,Software - Application,0.07255,0.120459996,0.03551,0.08231,9552000000,36.032,0.145,7231000064,1371000064,693000000.0,2.59,0.629,5442999808,21.179,3820999936,48.956,1.322,30.12,2939000064.0,3012750080.0
WDC,Technology,Computer Hardware,0.55286,0.37008998,0.14648,0.85920995,11777000448,34.161,0.455,5350000128,3928000000,6350000128.0,16.71,4.829,3236999936,9.391,1724000000,17.81,1.49,20.915,3286000128.0,2075000064.0
WMT,Consumer Defensive,Discount Stores,0.0307,0.04567,0.06834,0.21847,713163014144,89.335,0.056,177768005632,44027998208,21892999168.0,2.72,-0.19,10727000064,1.346,68425998336,64.443,0.79,12.501,41564999680.0,10554250240.0
XEL,Utilities,Utilities - Regulated Electric,0.14144,0.18155001,0.02338,0.0959,14784000000,24.671,0.029,6790000128,6060000256,2091000064.0,3.47,0.06,1768000000,2.832,39243001856,164.845,0.77,37.859,4752000000.0,-7471625216.0
ZS,Technology,Software - Infrastructure,-0.02253,-0.061979998,-0.014090001,-0.03556,3001123072,19.065,0.259,2299827968,-68018000,-67630000.0,-0.42,,3512751104,21.847,1866436992,84.995,1.901,13.676,1114038016.0,1020966656.0
